ID,Name,Winery,Year,Rating,Rates_count,Price,Currency,Discovery_Params
2283322,Chardonnay Lauren,Aubert,2017,4.8,60,274.0,USD,"US White, Rating >1, any price"
1217918,Cuvée Indigène Chardonnay,Peter Michael,2016,4.8,44,305.0,USD,"US White, Rating >1, any price"
2430244,Chardonnay Larry Hyde & Sons,Aubert,2019,4.7,84,212.0,USD,"US White, Rating >1, any price"
11638,The Judge Chardonnay,Kongsgaard,2013,4.7,81,999.99,USD,"US White, Rating >1, any price"
2531827,Chardonnay CIX,Aubert,2016,4.7,66,247.0,USD,"US White, Rating >1, any price"
1714630,Chardonnay UV-SL Vineyard,Aubert,2017,4.7,60,185.0,USD,"US White, Rating >1, any price"
94683,Chardonnay Coup De Coeur,Morlet Family Vineyards,2013,4.7,51,342.0,USD,"US White, Rating >1, any price"
9138378,Stones Chardonnay,Fairchild Estate,2018,4.7,46,196.0,USD,"US White, Rating >1, any price"
1726530,Chardonnay Sugar Shack,Aubert,2013,4.7,46,247.0,USD,"US White, Rating >1, any price"
94681,Chardonnay Ma Princesse,Morlet Family Vineyards,2018,4.7,36,154.0,USD,"US White, Rating >1, any price"
1769417,Estate Finch Hollow Chardonnay (Cave Fermented),Jarvis,2021,4.6,796,395.84,USD,"US White, Rating >1, any price"
2252144,Chardonnay Eastside,Aubert,2023,4.6,607,175.96,USD,"US White, Rating >1, any price"
6888,Point Rouge Chardonnay,Peter Michael,2015,4.6,296,1006.0,USD,"US White, Rating >1, any price"
86114,Marcassin Vineyard Chardonnay,Marcassin,2013,4.6,224,749.99,USD,"US White, Rating >1, any price"
6856489,Deux Grenouilles,Sine Qua Non,2016,4.6,180,330.0,USD,"US White, Rating >1, any price"
7629976,Tectumque,Sine Qua Non,2017,4.6,115,174.99,USD,"US White, Rating >1, any price"
1251348,Chardonnay Ritchie Vineyard,Aubert,2014,4.6,102,130.0,USD,"US White, Rating >1, any price"
6883,Mon Plaisir Chardonnay,Peter Michael,2015,4.6,89,236.0,USD,"US White, Rating >1, any price"
1181236,Ma Belle-Fille Chardonnay,Peter Michael,2018,4.6,86,172.0,USD,"US White, Rating >1, any price"
94690,La Proportion Dorée,Morlet Family Vineyards,2016,4.6,86,254.0,USD,"US White, Rating >1, any price"
1579883,Stone Flat Vineyard Chardonnay,Kistler,2019,4.6,79,239.0,USD,"US White, Rating >1, any price"
6881,Belle Côte Chardonnay,Peter Michael,2019,4.6,77,157.0,USD,"US White, Rating >1, any price"
9192,Durell Vineyard Chardonnay,Kistler,2018,4.6,73,171.0,USD,"US White, Rating >1, any price"
7105832,Powder House,Aubert,2017,4.6,53,424.0,USD,"US White, Rating >1, any price"
9200,Cuvée Cathleen Kistler Vineyard Chardonnay,Kistler,2019,4.6,51,353.0,USD,"US White, Rating >1, any price"
5852220,"""Savoir Faire""",Pahlmeyer,2014,4.6,46,642.0,USD,"US White, Rating >1, any price"
8274577,W.S. Keyes Vineyard Chardonnay,La Jota,2018,4.6,36,103.0,USD,"US White, Rating >1, any price"
8927124,Mt. Veeder Estate Vineyard Chardonnay,Pulido-Walker,2019,4.6,36,159.99,USD,"US White, Rating >1, any price"
94678,Chardonnay Ma Douce,Morlet Family Vineyards,2018,4.6,29,129.97,USD,"US White, Rating >1, any price"
6467226,Laguna Ridge Vineyard Chardonnay,Kistler,2016,4.6,29,493.0,USD,"US White, Rating >1, any price"
2322515,Jinete Bajo,Sine Qua Non,2008,4.6,29,274.99,USD,"US White, Rating >1, any price"
